Code_du_departement;Libelle_du_departement;Candidat_gagnant_2017;Candidat_gagnant_2022;Nombre_voix_2017;Nombre_voix_2022;Taux_voix_exp_2017;Taux_voix_exp_2022;Inscrits_2017;Inscrits_2022;Abstentions_2017;Abstentions_2022;Votants_2017;Votants_2022;Blancs_2017;Blancs_2022;Nuls_2017;Nuls_2022;Exprimes_2017;Exprimes_2022;Taux_chomage_2017;Taux_chomage_2018;Taux_chomage_2019;Taux_chomage_2020;Taux_chomage_2021;Taux_chomage_2022;Effectifs_infirmiers_2017;Effectifs_infirmiers_2018;Effectifs_infirmiers_2019;Effectifs_infirmiers_2020;Effectifs_infirmiers_2021;Effectifs_infirmiers_2022;Effectifs_medecins_generalistes_2017;Effectifs_medecins_generalistes_2018;Effectifs_medecins_generalistes_2019;Effectifs_medecins_generalistes_2020;Effectifs_medecins_generalistes_2021;Effectifs_medecins_generalistes_2022;Moins_de_19_ans_2017;Moins_de_19_ans_2018;Moins_de_19_ans_2019;Moins_de_19_ans_2020;Moins_de_19_ans_2021;Moins_de_19_ans_2022;_20_a_39_ans_2017;_20_a_39_ans_2018;_20_a_39_ans_2019;_20_a_39_ans_2020;_20_a_39_ans_2021;_20_a_39_ans_2022;_40_a_59_ans_2017;_40_a_59_ans_2018;_40_a_59_ans_2019;_40_a_59_ans_2020;_40_a_59_ans_2021;_40_a_59_ans_2022;_60_a_74_ans_2017;_60_a_74_ans_2018;_60_a_74_ans_2019;_60_a_74_ans_2020;_60_a_74_ans_2021;_60_a_74_ans_2022;_75_ans_et_plus_2017;_75_ans_et_plus_2018;_75_ans_et_plus_2019;_75_ans_et_plus_2020;_75_ans_et_plus_2021;_75_ans_et_plus_2022;Nombre_habitants_2017;Nombre_habitants_2018;Nombre_habitants_2019;Nombre_habitants_2020;Nombre_habitants_2021;Nombre_habitants_2022;Nombre_hommes_2017;Nombre_hommes_2018;Nombre_hommes_2019;Nombre_hommes_2020;Nombre_hommes_2021;Nombre_hommes_2022;Nombre_femmes_2017;Nombre_femmes_2018;Nombre_femmes_2019;Nombre_femmes_2020;Nombre_femmes_2021;Nombre_femmes_2022
37;Indre-et-Loire;MACRON_Emmanuel;MACRON_Emmanuel;83165;101503;24,47;30.99;428871;440502;80171;105536;348700;334966;6210;5437;2585;2039;339905;327490;8,5;8,1;7,7;7,2;6,9;6,5;541;561;564;568;580;584;489;492;498;507;519;535;144821;144640;143147;142233;141433;141030;138934;138953;140671;141670;142231;142478;157289;156620;156061;155330;155422;155492;102641;105350;107358;109147;110962;111153;62826;62197;62842;63739;64071;65954;606511;607760;610079;612119;614119;616107;291480;292166;293264;294531;295532;296606;315031;315594;316815;317588;318587;319501
38;Is���re;MACRON_Emmanuel;MACRON_Emmanuel;164089;180533;24,77;26.85;856508;885440;177674;198676;678834;686764;12030;10990;4297;3478;662507;672296;7,8;7,4;6,9;6,6;6,5;5,9;1744;1787;1805;1851;1906;1905;1019;1026;1032;1050;1036;1028;323997;325547;324439;324217;323128;322152;304304;302743;304113;304085;304848;305254;334014;333755;334609;334922;335835;337021;191177;194621;198715;202600;206185;207554;105230;106897;109290;111689;112530;116520;1258722;1263563;1271166;1277513;1282526;1288501;617719;618894;622732;626204;628527;631282;641003;644669;648434;651309;653999;657219
39;Jura;LE PEN_Marine;LE PEN_Marine;36110;38179;24,14;26.29;190332;190597;36524;41634;153808;148963;3168;2625;1071;1111;149569;145227;6,8;6,4;6,1;5,8;5,4;5,1;270;291;299;307;308;311;219;215;217;210;200;206;60292;59452;59399;58462;57423;56471;52496;52372;51802;51821;51692;51414;70717;70048;69256;68534;68202;67751;47775;48809;49491;50324;50904;51120;28908;29065;29251;29657;29770;30548;260188;259746;259199;258798;257991;257304;126825;126743;126486;126202;125836;125516;133363;133003;132713;132596;132155;131788
40;Landes;MACRON_Emmanuel;MACRON_Emmanuel;61073;69459;24,63;26.92;310197;329337;55411;65654;254786;263683;4847;4033;1948;1600;247991;258050;9;8,5;8;7,7;7,5;6,9;693;739;774;811;834;845;375;372;381;390;396;392;87147;87450;88325;88101;87584;87239;79670;79027;78391;79002;79286;79525;112790;113146;113329;113677;114411;114908;80939;83798;85564;87980;90268;91168;46898;46934;48081;49362;50123;52389;407444;410355;413690;418122;421672;425229;197405;198906;200516;202867;204716;206422;210039;211449;213174;215255;216956;218807
41;Loir-et-Cher;LE PEN_Marine;MACRON_Emmanuel;48662;50480;25,12;27.92;245321;244718;46325;59350;198996;185368;3692;3181;1566;1377;193738;180810;8;7,7;7,2;6,6;6,4;6;318;324;328;341;343;357;232;225;220;215;205;194;75552;74719;74769;74367;73532;72696;64806;63857;63363;63270;62934;62602;89163;87797;86581;85889;85184;84550;62324;64089;65014;66189;67115;66847;40070;39786;39743;39642;39506;40693;331915;330248;329470;329357;328271;327388;161185;160355;159968;160088;159610;159199;170730;169893;169502;169269;168661;168189
42;Loire;LE PEN_Marine;MACRON_Emmanuel;94222;104003;24,08;26.95;510806;513794;108835;118592;401971;395202;7841;6664;2763;2600;391367;385938;9,2;8,7;8,3;7,9;7,6;7,1;1305;1342;1424;1475;1519;1522;603;599;605;597;601;603;187457;186655;186413;186751;185915;185063;168977;168755;169748;168982;169429;169719;193817;192450;191521;191050;191017;190749;130668;133076;134956;137388;138498;138030;82022;82505;82996;84337;84253;87117;762941;763441;765634;768508;769112;770678;368406;369007;370491;372211;372949;373964;394535;394434;395143;396297;396163;396714
43;Haute-Loire;MACRON_Emmanuel;LE PEN_Marine;32819;38629;23,51;27.66;177158;180706;32875;37000;144283;143706;3324;2837;1385;1214;139574;139655;7,4;7,1;6,6;6,3;6;5,6;426;440;454;465;485;508;186;192;193;197;188;193;51342;51356;51643;50912;50251;49614;44138;43703;43342;43404;43408;43378;62612;62106;61421;60562;60174;59875;43389;44555;45228;46456;47322;47405;25802;25832;25936;26155;25956;26825;227283;227552;227570;227489;227111;227097;111745;111765;111856;111959;111877;111864;115538;115787;115714;115530;115234;115233
44;Loire-Atlantique;MACRON_Emmanuel;MACRON_Emmanuel;232602;256609;28,66;31.98;993538;1056693;162601;236339;830937;820354;14632;13373;4848;4559;811457;802422;7,6;7,2;6,8;6,8;6,4;5,7;1017;1039;1079;1113;1164;1206;1145;1166;1192;1226;1239;1242;357100;360864;362765;362743;363690;365238;349527;351986;354475;359109;362426;366542;361658;365159;369175;371254;376706;380446;210861;217315;223700;230164;236062;239070;115763;117178;119157;121901;123622;128892;1394909;1412502;1429272;1445171;1462506;1480188;677074;686191;694689;703027;711851;720918;717835;726311;734583;742144;750655;759270
45;Loiret;LE PEN_Marine;MACRON_Emmanuel;83662;97004;23,53;28.92;452607;457550;87974;114468;364633;343082;6397;5512;2664;2148;355572;335422;9,1;8,7;8,4;7,6;7,3;7,1;512;519;547;559;576;605;423;412;412;405;388;384;173136;172229;172390;171534;171116;170502;156451;156517;156257;155521;155409;155634;175939;175101;174058;174099;173823;173456;109871;112334;114381;116614;118443;118351;62708;62664;63348;64536;65149;67138;678105;678845;680434;682304;683940;685081;329868;330521;331416;332281;333166;333812;348237;348324;349018;350023;350774;351269
46;Lot;MACRON_Emmanuel;MACRON_Emmanuel;29527;27311;26,65;24.97;136305;139278;22305;27164;114000;112114;1914;1767;1301;957;110785;109390;8,8;8,6;8,3;8;7,8;7,3;382;379;390;398;412;415;143;138;142;141;131;120;32986;32509;32673;33054;32852;32646;29737;30008;29811;29574;29406;29408;46942;46319;45498;45217;44971;44567;39064;40203;40876;42034;42810;42951;25099;24890;25236;24791;24868;25624;173828;173929;174094;174670;174907;175196;84272;84448;84483;84882;85150;85416;89556;89481;89611;89788;89757;89780
